0.12,0.83,2.32
0.1,0.81,2.32
0.08,1.07,2.32
0.0600000000000001,1.03,2.32
0.1,0.97,2.32
0.05,1.15,2.31
0.05,1.14,2.31
0.05,1.13,2.31
0.05,1.12,2.31
0.08,0.92,2.3
0.12,0.74,2.3
0.0700000000000001,1.1,2.29
0.11,0.9,2.29
0.0600000000000001,1.13,2.28
0.12,0.82,2.28
0.0600000000000001,1.04,2.28
0.09,0.87,2.27
0.11,0.78,2.27
0.0700000000000001,0.98,2.27
0.12,0.75,2.26
0.08,1.06,2.26
0.09,1.02,2.25
0.08,0.93,2.24
0.0600000000000001,1.12,2.24
0.1,0.82,2.24
0.12,0.81,2.24
0.0600000000000001,1.05,2.24
0.1,0.96,2.24
0.0700000000000001,1.09,2.23
0.11,0.89,2.23
0.12,0.76,2.22
0.09,0.88,2.21
0.11,0.79,2.21
0.0700000000000001,0.99,2.21
0.0600000000000001,1.11,2.2
0.1,0.83,2.2
0.12,0.8,2.2
0.08,1.05,2.2
0.0600000000000001,1.06,2.2
0.08,0.94,2.18
0.0600000000000001,1.1,2.18
0.12,0.79,2.18
0.12,0.77,2.18
0.0600000000000001,1.09,2.18
0.0600000000000001,1.08,2.18
0.0600000000000001,1.07,2.18
0.0700000000000001,1.08,2.17
0.11,0.88,2.17
0.09,1.01,2.17
0.0700000000000001,1,2.17
0.1,0.84,2.16
0.12,0.78,2.16
0.1,0.95,2.16
0.09,0.89,2.15
0.11,0.8,2.15
0.08,1.04,2.14
0.0700000000000001,1.07,2.13
0.0700000000000001,1.01,2.13
0.08,0.95,2.12
0.1,0.85,2.12
0.09,0.9,2.11
0.0700000000000001,1.06,2.11
0.09,1,2.11
0.11,0.87,2.11
0.1,0.94,2.1
0.0700000000000001,1.05,2.09
0.11,0.81,2.09
0.0700000000000001,1.02,2.09
0.1,0.86,2.08
0.08,1.03,2.08
0.0700000000000001,1.04,2.07
0.09,0.91,2.07
0.0700000000000001,1.03,2.07
0.11,0.86,2.07
0.09,0.99,2.07
0.08,0.96,2.06
0.1,0.93,2.06
0.09,0.98,2.05
0.11,0.82,2.05
0.11,0.85,2.05
0.08,0.97,2.04
0.1,0.87,2.04
0.08,1.02,2.04
0.08,1.01,2.04
0.08,1,2.04
0.08,0.99,2.04
0.08,0.98,2.04
0.09,0.92,2.03
0.11,0.84,2.03
0.11,0.83,2.03
0.09,0.97,2.03
0.1,0.92,2.02
0.1,0.88,2.02
0.09,0.96,2.01
0.09,0.94,2.01
0.09,0.95,2.01
0.09,0.93,2.01
0.1,0.89,2
0.1,0.91,2
0.1,0.9,1.98
